FORMULA,CONDITION: Temperature (K),PROPERTY: Heat Capacity (J/mol K)
H1Na1,298.0,36.391999999999996
Cl1Na1O4,298.0,111.294
Cl1Na1O4,1400.0,205.267
Cl1Na1O4,1300.0,201.083
Cl1Na1O4,1200.0,196.648
Cl1Na1O4,1100.0,191.96200000000002
Cl1Na1O4,1000.0,187.025
Cl1Na1O4,900.0,181.58599999999998
Cl1Na1O4,800.0,175.72799999999998
Cl1Na1O4,700.0,168.511
Cl1Na1O4,600.0,160.247
Cl1Na1O4,581.0,158.57399999999998
Cl1Na1O4,581.0,158.57399999999998
Cl1Na1O4,500.0,150.20600000000002
Cl1Na1O4,400.0,135.98
Cl1Na1O4,300.0,111.713
B1F4K1,298.0,114.48299999999999
B1F4K1,1400.0,177.456
B1F4K1,1300.0,173.03799999999998
B1F4K1,1200.0,168.61900000000003
B1F4K1,1100.0,164.197
B1F4K1,1000.0,159.779
B1F4K1,900.0,155.356
B1F4K1,843.0,152.838
B1F4K1,800.0,150.938
B1F4K1,700.0,146.519
B1F4K1,600.0,142.097
B1F4K1,556.0,156.02700000000002
B1F4K1,556.0,140.14600000000002
B1F4K1,500.0,146.963
B1F4K1,400.0,130.817
B1F4K1,300.0,114.78
Cu1O4S1,1900.0,168.908
Cu1O4S1,1800.0,167.56900000000002
Cu1O4S1,1700.0,166.14700000000002
Cu1O4S1,1600.0,164.72400000000002
Cu1O4S1,1500.0,163.218
Cu1O4S1,1400.0,161.628
Cu1O4S1,1300.0,159.954
Cu1O4S1,1200.0,158.113
Cu1O4S1,1100.0,156.063
Cu1O4S1,1000.0,153.762
Cu1O4S1,900.0,151.042
Cu1O4S1,800.0,147.695
Cu1O4S1,700.0,142.925
Cu1O4S1,600.0,136.315
Cu1O4S1,500.0,127.194
Cu1O4S1,400.0,114.934
Cu1O4S1,300.0,99.286
Cu1O4S1,298.0,98.868
H1Li1,1400.0,89.29899999999999
H1Li1,1300.0,83.994
H1Li1,1200.0,78.68
H1Li1,1100.0,73.362
H1Li1,1000.0,68.028
H1Li1,961.8,65.985
H1Li1,900.0,62.676
H1Li1,800.0,57.3
H1Li1,700.0,51.876999999999995
H1Li1,600.0,46.38
H1Li1,500.0,40.735
H1Li1,400.0,34.794000000000004
H1Li1,300.0,28.083000000000002
H1Li1,298.0,27.956999999999997
F2H1K1,1900.0,100.249
F2H1K1,1800.0,100.249
F2H1K1,1700.0,100.249
F2H1K1,1600.0,100.249
F2H1K1,1500.0,100.249
F2H1K1,1400.0,100.249
F2H1K1,1300.0,100.249
F2H1K1,1200.0,100.249
F2H1K1,1100.0,100.249
F2H1K1,1000.0,100.249
F2H1K1,900.0,100.249
F2H1K1,800.0,100.249
F2H1K1,700.0,100.249
F2H1K1,600.0,100.249
F2H1K1,511.95,100.249
F2H1K1,500.0,100.249
F2H1K1,469.85,92.45
F2H1K1,469.85,100.249
F2H1K1,400.0,86.065
F2H1K1,300.0,77.111
F2H1K1,298.0,76.94
B1H4Li1,298.0,82.539
B1H4Li1,1900.0,121.50200000000001
B1H4Li1,1800.0,121.007
B1H4Li1,1700.0,120.477
B1H4Li1,1600.0,119.913
B1H4Li1,1500.0,119.316
B1H4Li1,1400.0,118.684
B1H4Li1,1300.0,118.01899999999999
B1H4Li1,1200.0,117.319
B1H4Li1,1100.0,116.39200000000001
B1H4Li1,1000.0,115.353
B1H4Li1,900.0,114.34899999999999
B1H4Li1,800.0,113.052
B1H4Li1,700.0,109.914
B1H4Li1,600.0,105.14399999999999
B1H4Li1,500.0,98.28200000000001
B1H4Li1,400.0,91.00200000000001
B1H4Li1,300.0,82.98899999999999
Hg1O1,900.0,58.626000000000005
Hg1O1,800.0,57.50899999999999
Hg1O1,700.0,56.066
Hg1O1,600.0,54.12
Hg1O1,500.0,51.631
Hg1O1,400.0,48.325
Hg1O1,300.0,44.145
Hg1O1,298.0,44.062
Be3N2,298.0,64.358
Be3N2,2900.0,129.692
Be3N2,2800.0,129.67700000000002
Be3N2,2700.0,129.659
Be3N2,2600.0,129.639
Be3N2,2500.0,129.615
Be3N2,2473.0,129.606
Be3N2,2400.0,129.588
Be3N2,2300.0,129.559
Be3N2,2200.0,129.526
Be3N2,2100.0,129.49
Be3N2,2000.0,129.452
Be3N2,1900.0,129.411
Be3N2,1800.0,129.366
Be3N2,1700.0,129.319
Be3N2,1600.0,129.269
Be3N2,1500.0,129.047
Be3N2,1400.0,128.616
Be3N2,1300.0,127.926
Be3N2,1200.0,126.92200000000001
Be3N2,1100.0,125.52
Be3N2,1000.0,123.61200000000001
Be3N2,900.0,121.04299999999999
Be3N2,800.0,117.59100000000001
Be3N2,700.0,112.92200000000001
Be3N2,600.0,106.516
Be3N2,500.0,97.512
Be3N2,400.0,84.43299999999999
Be3N2,300.0,64.668
Fe1,2100.0,45.48
Fe1,2000.0,44.476000000000006
Fe1,1900.0,43.472
Fe1,1809.0,42.558
Fe1,1800.0,42.468
Fe1,1700.0,41.463
Fe1,1665.0,41.111999999999995
Fe1,1600.0,40.459
Fe1,1500.0,39.455
Fe1,1400.0,38.535
Fe1,1300.0,38.493
Fe1,1200.0,40.794000000000004
Fe1,1184.0,41.422
Fe1,1100.0,46.401
Fe1,1042.0,83.68
Fe1,1042.0,83.681
Fe1,1000.0,54.434
Fe1,900.0,43.095
Fe1,800.0,37.949
Fe1,700.0,34.602
Fe1,600.0,32.049
Fe1,500.0,29.701999999999998
Fe1,450.0,28.518
Fe1,400.0,27.386
Fe1,350.0,26.287
Fe1,300.0,25.14
Fe1,298.0,25.094
I2Mo1,1400.0,96.445
I2Mo1,1300.0,95.199
I2Mo1,1200.0,93.95200000000001
I2Mo1,1100.0,92.705
I2Mo1,1000.0,91.458
I2Mo1,900.0,90.211
I2Mo1,800.0,88.964
I2Mo1,700.0,87.71799999999999
I2Mo1,600.0,86.471
I2Mo1,500.0,85.22399999999999
I2Mo1,400.0,83.977
I2Mo1,300.0,82.73
I2Mo1,298.0,82.705
Cu1F1,1900.0,64.434
Cu1F1,1800.0,64.434
Cu1F1,1700.0,64.434
Cu1F1,1600.0,64.434
Cu1F1,1500.0,64.434
Cu1F1,1400.0,64.378
Cu1F1,1300.0,64.266
Cu1F1,1200.0,64.057
Cu1F1,1100.0,63.763999999999996
Cu1F1,1000.0,63.346000000000004
Cu1F1,900.0,62.802
Cu1F1,800.0,62.007
Cu1F1,700.0,60.961000000000006
Cu1F1,600.0,59.58
Cu1F1,500.0,57.656000000000006
Cu1F1,400.0,55.145
Cu1F1,300.0,51.965
Cu1F1,298.0,51.882
Cr1N1,298.0,52.677
Cr1N1,2400.0,62.467
Cr1N1,2300.0,61.714
Cr1N1,2200.0,61.003
Cr1N1,2100.0,60.375
Cr1N1,2000.0,59.831
Cr1N1,1900.0,59.078
Cr1N1,1800.0,58.367
Cr1N1,1700.0,57.696999999999996
Cr1N1,1600.0,57.028
Cr1N1,1500.0,56.379
Cr1N1,1400.0,55.68899999999999
Cr1N1,1300.0,55.02
Cr1N1,1200.0,54.391999999999996
Cr1N1,1100.0,53.723
Cr1N1,1000.0,53.053000000000004
Cr1N1,900.0,52.38399999999999
Cr1N1,800.0,51.714
Cr1N1,700.0,51.086999999999996
Cr1N1,600.0,50.417
Cr1N1,500.0,49.748000000000005
Cr1N1,400.0,49.078
Cr1N1,300.0,51.393
Fe1H3O3,1400.0,174.68200000000002
Fe1H3O3,1300.0,173.218
Fe1H3O3,1200.0,171.12599999999998
Fe1H3O3,1100.0,168.40599999999998
Fe1H3O3,1000.0,164.85
Fe1H3O3,900.0,160.247
Fe1H3O3,800.0,154.808
Fe1H3O3,700.0,148.114
Fe1H3O3,600.0,140.582
Fe1H3O3,500.0,129.704
Fe1H3O3,400.0,117.98899999999999
Fe1H3O3,300.0,102.09
Fe1H3O3,298.0,101.671
I1Li1,2400.0,76.191
I1Li1,2300.0,76.191
I1Li1,2200.0,76.191
I1Li1,2100.0,76.191
I1Li1,2000.0,76.191
I1Li1,1900.0,76.191
I1Li1,1800.0,76.191
I1Li1,1700.0,76.191
I1Li1,1600.0,76.191
I1Li1,1500.0,76.191
I1Li1,1400.0,75.877
I1Li1,1300.0,75.375
I1Li1,1200.0,74.559
I1Li1,1100.0,73.53399999999999
I1Li1,1000.0,71.965
I1Li1,900.0,69.517
I1Li1,800.0,66.107
I1Li1,700.0,62.258
I1Li1,600.0,58.66
I1Li1,500.0,55.948
I1Li1,400.0,53.43
I1Li1,300.0,50.187
I1Li1,298.0,50.082
Al1I3,298.0,98.91
Al1I3,1400.0,129.501
Al1I3,1300.0,129.319
Al1I3,1200.0,129.16
Al1I3,1100.0,128.875
Al1I3,1000.0,128.44899999999998
Al1I3,900.0,127.90100000000001
Al1I3,800.0,126.91799999999999
Al1I3,700.0,125.06299999999999
Al1I3,600.0,121.986
Al1I3,500.0,116.90100000000001
Al1I3,464.15,114.61399999999999
Al1I3,400.0,108.53299999999999
Al1I3,300.0,99.07700000000001
Fe1S1,1800.0,99.67
Fe1S1,1700.0,91.17399999999999
Fe1S1,1600.0,83.65299999999999
Fe1S1,1500.0,77.10600000000001
Fe1S1,1463.0,74.93
Fe1S1,1400.0,71.533
Fe1S1,1300.0,66.935
Fe1S1,1200.0,63.31100000000001
Fe1S1,1100.0,60.662
Fe1S1,1000.0,58.986000000000004
Fe1S1,900.0,58.286
Fe1S1,800.0,58.56
Fe1S1,700.0,59.808
Fe1S1,600.0,62.03
Fe1S1,598.0,72.358
Fe1S1,598.0,62.085
Fe1S1,500.0,72.358
Fe1S1,411.0,95.051
Fe1S1,411.0,72.358
Fe1S1,400.0,89.20299999999999
Fe1S1,300.0,50.67100000000001
Fe1S1,298.0,50.516999999999996
Al2Cl9K3,298.0,337.23
Al2Cl9K3,1400.0,466.934
Al2Cl9K3,1300.0,452.12300000000005
Al2Cl9K3,1200.0,438.81800000000004
Al2Cl9K3,1100.0,427.019
Al2Cl9K3,1000.0,416.726
Al2Cl9K3,900.0,407.94
Al2Cl9K3,800.0,400.66
Al2Cl9K3,700.0,390.80699999999996
Al2Cl9K3,600.0,379.74
Al2Cl9K3,500.0,367.272
Al2Cl9K3,400.0,353.13
Al2Cl9K3,300.0,337.858
I2Pb1,900.0,102.428
I2Pb1,800.0,95.102
I2Pb1,700.0,88.743
I2Pb1,683.0,87.78
I2Pb1,600.0,83.713
I2Pb1,500.0,80.391
I2Pb1,400.0,78.85600000000001
I2Pb1,300.0,77.613
I2Pb1,298.0,77.57300000000001
I4Zr1,900.0,138.365
I4Zr1,800.0,137.15200000000002
I4Zr1,700.0,135.938
I4Zr1,600.0,134.599
I4Zr1,500.0,133.009
I4Zr1,400.0,131.001
I4Zr1,300.0,127.88
I4Zr1,298.0,127.8
Hg1I2,1400.0,84.119
Hg1I2,1300.0,84.119
Hg1I2,1200.0,84.119
Hg1I2,1100.0,84.119
Hg1I2,1000.0,84.119
Hg1I2,900.0,84.119
Hg1I2,800.0,84.119
Hg1I2,700.0,84.119
Hg1I2,600.0,84.119
Hg1I2,530.0,84.119
Hg1I2,500.0,84.119
Hg1I2,402.0,82.09
Hg1I2,402.0,84.119
Hg1I2,400.0,82.006
Hg1I2,300.0,77.822
Hg1I2,298.0,77.747
H4I1N1,1900.0,153.599
H4I1N1,1800.0,157.144
H4I1N1,1700.0,159.166
H4I1N1,1600.0,159.666
H4I1N1,1500.0,158.643
H4I1N1,1400.0,156.09799999999998
H4I1N1,1300.0,152.03
H4I1N1,1200.0,146.44
H4I1N1,1100.0,139.327
H4I1N1,1000.0,132.089
H4I1N1,900.0,124.976
H4I1N1,800.0,117.696
H4I1N1,700.0,110.458
H4I1N1,600.0,103.26100000000001
H4I1N1,500.0,96.148
H4I1N1,400.0,88.99799999999999
H4I1N1,300.0,81.881
H4I1N1,298.0,81.755
Hf1,2400.0,42.073
Hf1,2300.0,41.372
Hf1,2200.0,40.671
Hf1,2100.0,39.97
Hf1,2054.0,39.648
Hf1,2000.0,39.269
Hf1,1900.0,38.569
Hf1,1800.0,37.868
Hf1,1700.0,37.167
Hf1,1600.0,36.466
Hf1,1500.0,35.765
Hf1,1400.0,35.064
Hf1,1300.0,34.372
Hf1,1200.0,33.571999999999996
Hf1,1100.0,32.759
Hf1,1000.0,31.943
Hf1,900.0,31.12
Hf1,800.0,30.288
Hf1,700.0,29.445
Hf1,600.0,28.583000000000002
Hf1,500.0,27.691999999999997
Hf1,450.0,27.23
Hf1,400.0,26.750999999999998
Hf1,350.0,26.247
Hf1,300.0,25.708000000000002
Hf1,298.0,25.686999999999998
F2Hg2,1400.0,125.825
F2Hg2,1300.0,124.87200000000001
F2Hg2,1200.0,123.709
F2Hg2,1100.0,122.334
F2Hg2,1000.0,120.74799999999999
F2Hg2,900.0,118.95100000000001
F2Hg2,800.0,116.943
F2Hg2,700.0,114.516
F2Hg2,600.0,111.671
F2Hg2,500.0,108.40700000000001
F2Hg2,400.0,104.684
F2Hg2,300.0,100.5
F2Hg2,298.0,100.416
I2Sr1,1400.0,108.24
I2Sr1,1300.0,105.493
I2Sr1,1200.0,102.71700000000001
I2Sr1,1100.0,99.971
I2Sr1,1000.0,97.236
I2Sr1,900.0,94.492
I2Sr1,811.0,92.04799999999999
I2Sr1,800.0,91.755
I2Sr1,700.0,88.994
I2Sr1,600.0,86.274
I2Sr1,500.0,83.51299999999999
I2Sr1,400.0,80.751
I2Sr1,300.0,78.032
I2Sr1,298.0,77.94800000000001
C1K2O3,298.0,114.43700000000001
C1K2O3,1900.0,273.29900000000004
C1K2O3,1800.0,263.927
C1K2O3,1700.0,254.555
C1K2O3,1600.0,245.18200000000002
C1K2O3,1500.0,235.81
C1K2O3,1400.0,226.438
C1K2O3,1300.0,217.06599999999997
C1K2O3,1200.0,207.695
C1K2O3,1174.0,205.25900000000001
C1K2O3,1100.0,198.321
C1K2O3,1000.0,188.949
C1K2O3,900.0,179.515
C1K2O3,800.0,170.043
C1K2O3,700.0,160.483
C1K2O3,600.0,150.666
C1K2O3,500.0,140.049
C1K2O3,400.0,128.135
C1K2O3,300.0,114.699
C1N1Na1,298.0,68.681
C1N1Na1,288.5001548,111.06299999999999
C1N1Na1,1900.0,70.191
C1N1Na1,1800.0,70.09
C1N1Na1,1700.0,69.988
C1N1Na1,1600.0,69.885
C1N1Na1,1500.0,69.781
C1N1Na1,1400.0,69.676
C1N1Na1,1300.0,69.57
C1N1Na1,1200.0,69.462
C1N1Na1,1100.0,69.354
C1N1Na1,1000.0,69.245
C1N1Na1,900.0,69.145
C1N1Na1,835.0,69.082
C1N1Na1,800.0,69.046
C1N1Na1,700.0,68.945
C1N1Na1,600.0,68.848
C1N1Na1,500.0,68.752
C1N1Na1,400.0,
C1N1Na1,300.0,68.575
C1N1Na1,288.0,111.06200000000001
H2O4W1,900.0,182.422
H2O4W1,800.0,176.565
H2O4W1,700.0,170.707
H2O4W1,600.0,159.829
H2O4W1,500.0,146.44
H2O4W1,400.0,129.704
H2O4W1,300.0,112.96799999999999
H2O4W1,298.0,112.633
Ca1S1,298.0,47.442
Ca1S1,2900.0,61.42100000000001
Ca1S1,2800.0,61.045
Ca1S1,2700.0,60.668
Ca1S1,2600.0,60.291000000000004
Ca1S1,2500.0,59.898999999999994
Ca1S1,2400.0,59.496
Ca1S1,2300.0,59.115
Ca1S1,2200.0,58.743
Ca1S1,2100.0,58.382
Ca1S1,2000.0,58.032
Ca1S1,1900.0,
Ca1S1,1800.0,57.195
Ca1S1,1700.0,56.761
Ca1S1,1600.0,56.317
Ca1S1,1500.0,55.986999999999995
Ca1S1,1400.0,55.731
Ca1S1,1300.0,55.391000000000005
Ca1S1,1200.0,55.02
Ca1S1,1100.0,54.586000000000006
Ca1S1,1000.0,54.099
Ca1S1,900.0,53.555
Ca1S1,800.0,53.011
Ca1S1,700.0,52.342
Ca1S1,600.0,51.547
Ca1S1,500.0,50.501000000000005
Ca1S1,400.0,49.20399999999999
Ca1S1,300.0,47.446999999999996
K2O4S1,1100.0,239.365
K2O4S1,1000.0,226.11599999999999
K2O4S1,900.0,212.865
K2O4S1,857.0,207.169
K2O4S1,800.0,199.61900000000003
K2O4S1,700.0,186.368
K2O4S1,600.0,172.52700000000002
K2O4S1,500.0,160.733
K2O4S1,400.0,147.649
K2O4S1,300.0,131.666
K2O4S1,298.0,131.319
I2Mg1,1400.0,93.76299999999999
I2Mg1,1300.0,92.634
I2Mg1,1200.0,91.462
I2Mg1,1100.0,90.249
I2Mg1,1000.0,88.994
I2Mg1,907.0,87.86399999999999
I2Mg1,900.0,87.655
I2Mg1,800.0,86.274
I2Mg1,700.0,84.726
I2Mg1,600.0,83.01100000000001
I2Mg1,500.0,80.919
I2Mg1,400.0,78.408
I2Mg1,300.0,74.977
I2Mg1,298.0,74.81
Mg1O3Si1,2400.0,122.432
Mg1O3Si1,2300.0,122.432
Mg1O3Si1,2200.0,122.432
Mg1O3Si1,2100.0,122.432
Mg1O3Si1,2000.0,122.432
Mg1O3Si1,1900.0,122.432
Mg1O3Si1,1850.0,122.432
Mg1O3Si1,1800.0,122.432
Mg1O3Si1,1700.0,122.432
Mg1O3Si1,1600.0,122.432
Mg1O3Si1,1500.0,122.432
Mg1O3Si1,1400.0,122.432
Mg1O3Si1,1300.0,122.432
Mg1O3Si1,1258.0,120.34
Mg1O3Si1,1258.0,122.432
Mg1O3Si1,1200.0,120.34
Mg1O3Si1,1100.0,120.34
Mg1O3Si1,1000.0,120.34
Mg1O3Si1,903.0,119.788
Mg1O3Si1,903.0,120.34
Mg1O3Si1,900.0,119.675
Mg1O3Si1,800.0,115.78
Mg1O3Si1,700.0,111.62100000000001
Mg1O3Si1,600.0,106.99700000000001
Mg1O3Si1,500.0,101.512
Mg1O3Si1,400.0,94.194
Mg1O3Si1,300.0,82.228
Mg1O3Si1,298.0,81.927
Li3N1,1200.0,156.108
Li3N1,1100.0,148.69299999999998
Li3N1,1000.0,140.95
Li3N1,900.0,132.84
Li3N1,800.0,124.38
Li3N1,700.0,115.58
Li3N1,600.0,106.43
Li3N1,500.0,96.94
Li3N1,400.0,87.1
Li3N1,300.0,75.544
Li3N1,298.0,75.266
I2Zr1,1400.0,103.01
I2Zr1,1300.0,102.215
I2Zr1,1200.0,101.42
I2Zr1,1100.0,100.583
I2Zr1,1000.0,99.83
I2Zr1,900.0,99.62100000000001
I2Zr1,800.0,98.15700000000001
I2Zr1,700.0,97.445
I2Zr1,700.0,97.445
I2Zr1,600.0,96.609
I2Zr1,500.0,95.855
I2Zr1,400.0,95.01899999999999
I2Zr1,300.0,94.34899999999999
I2Zr1,298.0,94.14
H2Mg1,1900.0,74.883
H2Mg1,1800.0,74.475
H2Mg1,1700.0,74.08800000000001
H2Mg1,1600.0,73.722
H2Mg1,1500.0,73.204
H2Mg1,1400.0,72.592
H2Mg1,1300.0,71.76100000000001
H2Mg1,1200.0,70.751
H2Mg1,1100.0,69.486
H2Mg1,1000.0,67.99
H2Mg1,900.0,65.898
H2Mg1,800.0,63.095
H2Mg1,700.0,59.538000000000004
H2Mg1,600.0,55.229
H2Mg1,500.0,49.998999999999995
H2Mg1,400.0,43.303999999999995
H2Mg1,300.0,35.51
H2Mg1,298.0,35.334
I2Ti1,1900.0,97.889
I2Ti1,1800.0,97.161
I2Ti1,1700.0,96.43299999999999
I2Ti1,1600.0,95.705
I2Ti1,1500.0,94.977
I2Ti1,1400.0,94.249
I2Ti1,1300.0,93.521
I2Ti1,1200.0,92.79299999999999
I2Ti1,1100.0,92.065
I2Ti1,1000.0,91.337
I2Ti1,900.0,90.609
I2Ti1,800.0,89.881
I2Ti1,700.0,89.15299999999999
I2Ti1,600.0,88.425
I2Ti1,500.0,87.697
I2Ti1,400.0,86.969
I2Ti1,300.0,86.241
I2Ti1,298.0,86.228
H1K1,1400.0,63.301
H1K1,1300.0,62.701
H1K1,1200.0,61.923
H1K1,1100.0,60.966
H1K1,1000.0,59.831
H1K1,900.0,58.44
H1K1,800.0,56.818999999999996
H1K1,700.0,54.606
H1K1,600.0,51.923
H1K1,500.0,48.534
H1K1,400.0,44.141000000000005
H1K1,300.0,38.074
H1K1,298.0,37.907
Mg1O4W1,1900.0,195.602
Mg1O4W1,1800.0,191.0
Mg1O4W1,1700.0,186.606
Mg1O4W1,1600.0,182.00400000000002
Mg1O4W1,1500.0,177.611
Mg1O4W1,1400.0,173.00799999999998
Mg1O4W1,1300.0,168.615
Mg1O4W1,1200.0,164.013
Mg1O4W1,1100.0,159.41
Mg1O4W1,1000.0,154.808
Mg1O4W1,900.0,150.415
Mg1O4W1,800.0,146.14700000000002
Mg1O4W1,700.0,141.67
Mg1O4W1,600.0,137.026
Mg1O4W1,500.0,131.58700000000002
Mg1O4W1,400.0,123.428
Mg1O4W1,300.0,109.62100000000001
Mg1O4W1,298.0,109.07700000000001
I4Ti1,379.0,148.114
I4Ti1,300.0,125.947
I4Ti1,298.0,125.62899999999999
H1K1O1,298.0,64.89399999999999
H1K1O1,1400.0,78.65899999999999
H1K1O1,1300.0,78.65899999999999
H1K1O1,1200.0,78.65899999999999
H1K1O1,1100.0,78.65899999999999
H1K1O1,1000.0,78.65899999999999
H1K1O1,900.0,78.65899999999999
H1K1O1,800.0,78.65899999999999
H1K1O1,700.0,78.65899999999999
H1K1O1,679.0,78.65899999999999
H1K1O1,600.0,78.65899999999999
H1K1O1,516.0,80.961
H1K1O1,516.0,78.65899999999999
H1K1O1,500.0,79.58
H1K1O1,400.0,71.672
H1K1O1,300.0,65.01100000000001
I2,600.0,96.816
I2,500.0,81.207
I2,450.0,73.402
I2,400.0,65.598
I2,386.75,63.545
I2,350.0,58.605
I2,300.0,54.506
I2,298.0,54.43600000000001
Mn1,1800.0,48.446000000000005
Mn1,1700.0,47.623999999999995
Mn1,1600.0,46.803000000000004
Mn1,1519.0,46.108000000000004
Mn1,1500.0,45.982
Mn1,1412.0,43.513999999999996
Mn1,1412.0,45.229
Mn1,1400.0,43.43
Mn1,1361.0,39.204
Mn1,1361.0,43.095
Mn1,1300.0,38.953
Mn1,1200.0,38.535
Mn1,1100.0,38.116
Mn1,1000.0,37.698
Mn1,980.0,37.545
Mn1,980.0,37.571999999999996
Mn1,900.0,36.384
Mn1,800.0,34.915
Mn1,700.0,33.426
Mn1,600.0,31.899
Mn1,500.0,30.291999999999998
Mn1,450.0,30.02
Mn1,400.0,28.526999999999997
Mn1,350.0,27.516
Mn1,300.0,26.346999999999998
Mn1,298.0,26.299
F1K1,298.0,48.982
F1K1,1900.0,71.128
F1K1,1800.0,71.128
F1K1,1700.0,71.128
F1K1,1600.0,70.919
F1K1,1500.0,70.5
F1K1,1400.0,69.789
F1K1,1300.0,68.618
F1K1,1200.0,66.777
F1K1,1131.0,64.852
F1K1,1100.0,63.848
F1K1,1000.0,61.17
F1K1,900.0,59.078
F1K1,800.0,57.403999999999996
F1K1,700.0,55.856
F1K1,600.0,54.266000000000005
F1K1,500.0,52.718
F1K1,400.0,51.045
F1K1,300.0,49.022
Li2O3Si1,2400.0,186.46099999999998
Li2O3Si1,2300.0,184.565
Li2O3Si1,2200.0,182.59
Li2O3Si1,2100.0,180.537
Li2O3Si1,2000.0,178.40599999999998
Li2O3Si1,1900.0,176.188
Li2O3Si1,1800.0,173.887
Li2O3Si1,1700.0,171.502
Li2O3Si1,1600.0,169.03400000000002
Li2O3Si1,1500.0,166.523
Li2O3Si1,1474.0,165.856
Li2O3Si1,1400.0,163.942
Li2O3Si1,1300.0,161.293
Li2O3Si1,1200.0,158.57399999999998
Li2O3Si1,1100.0,155.576
Li2O3Si1,1000.0,152.30200000000002
Li2O3Si1,900.0,148.565
Li2O3Si1,800.0,144.43200000000002
Li2O3Si1,700.0,139.649
Li2O3Si1,600.0,134.306
Li2O3Si1,500.0,127.809
Li2O3Si1,400.0,118.82600000000001
Li2O3Si1,300.0,101.01
Li2O3Si1,298.0,100.56700000000001
K2O1,1900.0,150.083
K2O1,1800.0,145.993
K2O1,1700.0,141.91
K2O1,1600.0,137.833
K2O1,1500.0,133.762
K2O1,1400.0,129.69899999999998
K2O1,1300.0,125.64200000000001
K2O1,1200.0,121.59200000000001
K2O1,1100.0,117.54899999999999
K2O1,1000.0,113.512
K2O1,900.0,109.455
K2O1,800.0,105.395
K2O1,700.0,101.384
K2O1,600.0,97.404
K2O1,500.0,94.266
K2O1,400.0,91.546
K2O1,300.0,83.889
K2O1,298.0,83.68
Mg1O4S1,2400.0,186.25900000000001
Mg1O4S1,2300.0,185.067
Mg1O4S1,2200.0,183.80700000000002
Mg1O4S1,2100.0,182.468
Mg1O4S1,2000.0,181.033
Mg1O4S1,1900.0,179.477
Mg1O4S1,1800.0,177.778
Mg1O4S1,1700.0,175.895
Mg1O4S1,1600.0,173.787
Mg1O4S1,1500.0,171.389
Mg1O4S1,1400.0,168.61900000000003
Mg1O4S1,1400.0,168.61900000000003
Mg1O4S1,1300.0,165.352
Mg1O4S1,1200.0,161.41899999999998
Mg1O4S1,1100.0,156.691
Mg1O4S1,1000.0,151.67
Mg1O4S1,900.0,146.231
Mg1O4S1,800.0,140.499
Mg1O4S1,700.0,134.306
Mg1O4S1,600.0,127.61200000000001
Mg1O4S1,500.0,119.411
Mg1O4S1,400.0,109.99700000000001
Mg1O4S1,300.0,96.441
Mg1O4S1,298.0,96.23200000000001
Al1Na1O2,298.0,73.638
Al1Na1O2,2900.0,129.243
Al1Na1O2,2800.0,128.666
Al1Na1O2,2700.0,127.973
Al1Na1O2,2600.0,127.163
Al1Na1O2,2500.0,126.23700000000001
Al1Na1O2,2400.0,125.194
Al1Na1O2,2300.0,124.03399999999999
Al1Na1O2,2200.0,122.759
Al1Na1O2,2100.0,121.366
Al1Na1O2,2000.0,119.85799999999999
Al1Na1O2,1900.0,118.23299999999999
Al1Na1O2,1800.0,116.491
Al1Na1O2,1700.0,114.751
Al1Na1O2,1600.0,112.943
Al1Na1O2,1500.0,111.169
Al1Na1O2,1400.0,109.395
Al1Na1O2,1300.0,107.62100000000001
Al1Na1O2,1200.0,105.84700000000001
Al1Na1O2,1100.0,104.073
Al1Na1O2,1000.0,102.29899999999999
Al1Na1O2,900.0,100.525
Al1Na1O2,800.0,98.751
Al1Na1O2,740.0,99.788
Al1Na1O2,740.0,97.696
Al1Na1O2,700.0,98.291
Al1Na1O2,600.0,94.27
Al1Na1O2,500.0,89.56299999999999
Al1Na1O2,400.0,83.412
Al1Na1O2,300.0,73.889
Mo1O2.889,1400.0,124.679
Mo1O2.889,1300.0,119.846
Mo1O2.889,1200.0,115.105
Mo1O2.889,1100.0,110.476
Mo1O2.889,1000.0,105.973
Mo1O2.889,900.0,101.611
Mo1O2.889,800.0,97.415
Mo1O2.889,700.0,93.383
Mo1O2.889,600.0,89.48700000000001
Mo1O2.889,500.0,85.55
Mo1O2.889,400.0,80.923
Mo1O2.889,300.0,72.995
Mo1O2.889,298.0,72.77199999999999
Mo1O2.750,1400.0,119.553
Mo1O2.750,1300.0,115.05
Mo1O2.750,1200.0,110.63799999999999
Mo1O2.750,1100.0,106.331
Mo1O2.750,1000.0,102.139
Mo1O2.750,900.0,98.072
Mo1O2.750,800.0,94.145
Mo1O2.750,700.0,90.344
Mo1O2.750,600.0,86.626
Mo1O2.750,500.0,82.79700000000001
Mo1O2.750,400.0,78.208
Mo1O2.750,300.0,70.354
Mo1O2.750,298.0,70.135
N0.465V1,3400.0,66.777
N0.465V1,3300.0,65.898
N0.465V1,3200.0,65.01899999999999
N0.465V1,3100.0,64.141
N0.465V1,3000.0,63.303999999999995
N0.465V1,2900.0,62.425
N0.465V1,2800.0,61.505
N0.465V1,2700.0,60.583999999999996
N0.465V1,2600.0,59.622
N0.465V1,2500.0,58.743
N0.465V1,2400.0,57.907
N0.465V1,2300.0,56.902
N0.465V1,2200.0,55.94
N0.465V1,2100.0,54.93600000000001
